Match ID,Date,Venue,Team1,Team2,Toss winner,Toss decision,Stage,First innings score,First innings wicket,Second innings score,Second innings wicket,Match winner,Won by,Margin,Player of the match,year
329,03-04-2013,"Eden Gardens, Kolkata",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,128.0,10.0,129.0,4.0,Kolkata Knight Riders,Wickets,6.0,Sunil Narine,2013
330,04-04-2013,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Group,156.0,5.0,154.0,5.0,Royal Challengers Bangalore,Runs,2.0,Chris Gayle,2013
331,05-04-2013,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Pune Warriors India,Pune Warriors India,Field,Group,126.0,6.0,104.0,10.0,Sunrisers Hyderabad,Runs,22.0,Amit Mishra,2013
332,06-04-2013,"Feroz Shah Kotla, Delhi",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Group,165.0,7.0,160.0,6.0,Rajasthan Royals,Runs,5.0,Rahul Dravid,2013
333,06-04-2013,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Group,148.0,6.0,139.0,9.0,Mumbai Indians,Runs,9.0,Kieron Pollard,2013
334,07-04-2013,"Subrata Roy Sahara Stadium, Pune",Pune Warriors India,Kings XI Punjab,Pune Warriors India,Bat,Group,99.0,9.0,100.0,2.0,Kings XI Punjab,Wickets,8.0,Manan Vohra,2013
336,08-04-2013,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,144.0,6.0,125.0,10.0,Rajasthan Royals,Runs,19.0,Siddharth Trivedi,2013
337,09-04-2013,"M. Chinnaswamy Stadium, Bangalore",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Bat,Group,161.0,6.0,162.0,3.0,Royal Challengers Bangalore,Wickets,7.0,Virat Kohli,2013
338,09-04-2013,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat,Group,209.0,5.0,165.0,9.0,Mumbai Indians,Runs,44.0,Dinesh Karthik,2013
339,10-04-2013,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field,Group,138.0,10.0,139.0,0.0,Chennai Super Kings,Wickets,10.0,Michael Hussey,2013
340,11-04-2013,"M. Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,154.0,8.0,158.0,2.0,Royal Challengers Bangalore,Wickets,8.0,Chris Gayle,2013
341,11-04-2013,"Subrata Roy Sahara Stadium, Pune",Rajasthan Royals,Pune Warriors India,Rajasthan Royals,Bat,Group,145.0,5.0,148.0,3.0,Pune Warriors India,Wickets,7.0,Aaron Finch,2013
342,12-04-2013,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat,Group,114.0,8.0,115.0,7.0,Sunrisers Hyderabad,Wickets,3.0,Amit Mishra,2013
343,13-04-2013,"Wankhede Stadium, Mumbai",Mumbai Indians,Pune Warriors India,Mumbai Indians,Bat,Group,183.0,3.0,142.0,8.0,Mumbai Indians,Runs,41.0,Rohit Sharma,2013
344,13-04-2013,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Group,165.0,6.0,166.0,6.0,Chennai Super Kings,Wickets,4.0,Ravindra Jadeja,2013
345,14-04-2013,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Bat,Group,180.0,4.0,132.0,7.0,Kolkata Knight Riders,Runs,48.0,Gautam Gambhir,2013
346,14-04-2013,"Sawai Mansingh Stadium, Jaipur",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field,Group,124.0,10.0,126.0,4.0,Rajasthan Royals,Wickets,6.0,James Faulkner,2013
347,15-04-2013,"M. A. Chidambaram Stadium, Chennai",Pune Warriors India,Chennai Super Kings,Pune Warriors India,Bat,Group,159.0,5.0,135.0,8.0,Pune Warriors India,Runs,24.0,Steve Smith,2013
348,16-04-2013,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,157.0,9.0,153.0,9.0,Kings XI Punjab,Runs,4.0,Manpreet Gony,2013
350,17-04-2013,"Subrata Roy Sahara Stadium, Pune",Sunrisers Hyderabad,Pune Warriors India,Pune Warriors India,Field,Group,119.0,8.0,108.0,10.0,Sunrisers Hyderabad,Runs,11.0,Amit Mishra,2013
351,17-04-2013,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat,Group,179.0,3.0,92.0,10.0,Rajasthan Royals,Runs,87.0,Ajinkya Rahane,2013
352,18-04-2013,"Feroz Shah Kotla, Delhi",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat,Group,169.0,4.0,83.0,10.0,Chennai Super Kings,Runs,86.0,Michael Hussey,2013
353,19-04-2013,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Bat,Group,123.0,9.0,127.0,5.0,Sunrisers Hyderabad,Wickets,5.0,Hanuma Vihari,2013
354,20-04-2013,"Eden Gardens, Kolkata",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,Group,119.0,9.0,124.0,6.0,Chennai Super Kings,Wickets,4.0,Ravindra Jadeja,2013
355,20-04-2013,"M. Chinnaswamy Stadium, Bangalore",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,117.0,10.0,123.0,3.0,Royal Challengers Bangalore,Wickets,7.0,Vinay Kumar,2013
356,21-04-2013,"Feroz Shah Kotla, Delhi",Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat,Group,161.0,4.0,165.0,1.0,Delhi Daredevils,Wickets,9.0,Virender Sehwag,2013
357,21-04-2013,"Punjab Cricket Association Stadium, Mohali",Pune Warriors India,Kings XI Punjab,Kings XI Punjab,Field,Group,185.0,4.0,186.0,3.0,Kings XI Punjab,Wickets,7.0,David Miller,2013
358,22-04-2013,"M. A. Chidambaram Stadium, Chennai",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Group,185.0,4.0,186.0,5.0,Chennai Super Kings,Wickets,5.0,Michael Hussey,2013
359,23-04-2013,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Pune Warriors India,Pune Warriors India,Field,Group,263.0,5.0,133.0,9.0,Royal Challengers Bangalore,Runs,130.0,Chris Gayle,2013
360,23-04-2013,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Field,Group,120.0,7.0,121.0,5.0,Kings XI Punjab,Wickets,5.0,Harmeet Singh,2013
361,24-04-2013,"Eden Gardens, Kolkata",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat,Group,159.0,6.0,162.0,5.0,Mumbai Indians,Wickets,5.0,Dwayne Smith,2013
362,25-04-2013,"M. A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Bat,Group,159.0,6.0,160.0,5.0,Chennai Super Kings,Wickets,5.0,Mahendra Singh Dhoni,2013
363,26-04-2013,"Eden Gardens, Kolkata",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Bat,Group,149.0,6.0,150.0,4.0,Kolkata Knight Riders,Wickets,6.0,Jacques Kallis,2013
364,27-04-2013,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat,Group,144.0,9.0,146.0,2.0,Rajasthan Royals,Wickets,8.0,James Faulkner,2013
365,27-04-2013,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat,Group,194.0,7.0,136.0,7.0,Mumbai Indians,Runs,58.0,Dwayne Smith,2013
366,28-04-2013,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,200.0,3.0,186.0,4.0,Chennai Super Kings,Runs,14.0,Michael Hussey,2013
367,28-04-2013,"Raipur International Cricket Stadium, Raipur",Delhi Daredevils,Pune Warriors India,Pune Warriors India,Field,Group,164.0,5.0,149.0,4.0,Delhi Daredevils,Runs,15.0,David Warner,2013
368,29-04-2013,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,Group,171.0,6.0,173.0,6.0,Rajasthan Royals,Wickets,4.0,Sanju Samson,2013
369,29-04-2013,"Wankhede Stadium, Mumbai",Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat,Group,174.0,3.0,170.0,10.0,Mumbai Indians,Runs,4.0,Rohit Sharma,2013
370,30-04-2013,"Subrata Roy Sahara Stadium, Pune",Chennai Super Kings,Pune Warriors India,Chennai Super Kings,Bat,Group,164.0,3.0,127.0,9.0,Chennai Super Kings,Runs,37.0,Mahendra Singh Dhoni,2013
371,01-05-2013,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat,Group,129.0,4.0,130.0,3.0,Sunrisers Hyderabad,Wickets,7.0,Ishant Sharma,2013
372,01-05-2013,"Raipur International Cricket Stadium, Raipur",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat,Group,136.0,7.0,137.0,3.0,Delhi Daredevils,Wickets,7.0,David Warner,2013
373,02-05-2013,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Group,186.0,4.0,171.0,6.0,Chennai Super Kings,Runs,15.0,Suresh Raina,2013
374,02-05-2013,"Subrata Roy Sahara Stadium, Pune",Royal Challengers Bangalore,Pune Warriors India,Royal Challengers Bangalore,Bat,Group,187.0,3.0,170.0,9.0,Royal Challengers Bangalore,Runs,17.0,AB de Villiers,2013
375,03-05-2013,"Eden Gardens, Kolkata",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat,Group,132.0,6.0,133.0,2.0,Kolkata Knight Riders,Wickets,8.0,Yusuf Pathan,2013
376,04-05-2013,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat,Group,80.0,10.0,81.0,4.0,Sunrisers Hyderabad,Wickets,6.0,Darren Sammy,2013
377,05-05-2013,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Group,139.0,5.0,79.0,10.0,Mumbai Indians,Runs,60.0,Mitchell Johnson,2013
378,05-05-2013,"Sawai Mansingh Stadium, Jaipur",Pune Warriors India,Rajasthan Royals,Pune Warriors India,Bat,Group,178.0,4.0,182.0,5.0,Rajasthan Royals,Wickets,5.0,Ajinkya Rahane,2013
379,06-05-2013,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field,Group,190.0,3.0,194.0,4.0,Kings XI Punjab,Wickets,6.0,David Miller,2013
380,07-05-2013,"Sawai Mansingh Stadium, Jaipur",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Bat,Group,154.0,4.0,155.0,1.0,Rajasthan Royals,Wickets,9.0,Ajinkya Rahane,2013
381,07-05-2013,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Bat,Group,170.0,6.0,105.0,10.0,Mumbai Indians,Runs,65.0,Sachin Tendulkar,2013
382,08-05-2013,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Group,223.0,3.0,146.0,8.0,Chennai Super Kings,Runs,77.0,Suresh Raina,2013
383,09-05-2013,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field,Group,145.0,6.0,147.0,2.0,Rajasthan Royals,Wickets,8.0,Kevon Cooper,2013
384,09-05-2013,"Subrata Roy Sahara Stadium, Pune",Kolkata Knight Riders,Pune Warriors India,Kolkata Knight Riders,Bat,Group,152.0,6.0,106.0,10.0,Kolkata Knight Riders,Runs,46.0,Gautam Gambhir,2013
385,10-05-2013,"Feroz Shah Kotla, Delhi",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Field,Group,183.0,4.0,179.0,7.0,Royal Challengers Bangalore,Runs,4.0,Jaydev Unadkat,2013
386,11-05-2013,"Subrata Roy Sahara Stadium, Pune",Pune Warriors India,Mumbai Indians,Pune Warriors India,Bat,Group,112.0,8.0,116.0,5.0,Mumbai Indians,Wickets,5.0,Mitchell Johnson,2013
387,11-05-2013,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field,Group,150.0,7.0,120.0,9.0,Sunrisers Hyderabad,Runs,30.0,Parthiv Patel,2013
388,12-05-2013,"JSCA International Cricket Stadium, Ranchi",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,115.0,9.0,116.0,5.0,Kolkata Knight Riders,Wickets,5.0,Jacques Kallis,2013
389,12-05-2013,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,Group,141.0,4.0,144.0,5.0,Rajasthan Royals,Wickets,5.0,Shane Watson,2013
390,13-05-2013,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Bat,Group,178.0,3.0,184.0,3.0,Mumbai Indians,Wickets,7.0,Kieron Pollard,2013
391,14-05-2013,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field,Group,174.0,5.0,176.0,3.0,Kings XI Punjab,Wickets,7.0,Adam Gilchrist,2013
392,14-05-2013,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat,Group,168.0,4.0,135.0,9.0,Chennai Super Kings,Runs,33.0,Mahendra Singh Dhoni,2013
393,15-05-2013,"JSCA International Cricket Stadium, Ranchi",Pune Warriors India,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,170.0,4.0,163.0,7.0,Pune Warriors India,Runs,7.0,Manish Pandey,2013
394,15-05-2013,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Group,166.0,8.0,152.0,7.0,Mumbai Indians,Runs,14.0,Aditya Tare,2013
395,16-05-2013,"HPCA Stadium, Dharamsala",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Group,171.0,4.0,164.0,7.0,Kings XI Punjab,Runs,7.0,David Miller,2013
396,17-05-2013,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat,Group,136.0,9.0,113.0,9.0,Sunrisers Hyderabad,Runs,23.0,Amit Mishra,2013
397,18-05-2013,"HPCA Stadium, Dharamsala",Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Group,183.0,8.0,133.0,10.0,Kings XI Punjab,Runs,50.0,Azhar Mahmood,2013
398,18-05-2013,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Group,106.0,2.0,82.0,6.0,Royal Challengers Bangalore,Runs,24.0,Virat Kohli,2013
399,19-05-2013,"Subrata Roy Sahara Stadium, Pune",Pune Warriors India,Delhi Daredevils,Pune Warriors India,Bat,Group,172.0,5.0,134.0,9.0,Pune Warriors India,Runs,38.0,Luke Wright,2013
400,19-05-2013,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Bat,Group,130.0,7.0,132.0,5.0,Sunrisers Hyderabad,Wickets,5.0,Parthiv Patel,2013
401,21-05-2013,"Feroz Shah Kotla, Delhi",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Playoff,192.0,1.0,144.0,10.0,Chennai Super Kings,Runs,48.0,Michael Hussey,2013
402,22-05-2013,"Feroz Shah Kotla, Delhi",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat,Playoff,132.0,7.0,135.0,6.0,Rajasthan Royals,Wickets,4.0,Brad Hodge,2013
403,24-05-2013,"Eden Gardens, Kolkata",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat,Playoff,165.0,6.0,169.0,6.0,Mumbai Indians,Wickets,4.0,Harbhajan Singh,2013
404,26-05-2013,"Eden Gardens, Kolkata",Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Final,148.0,9.0,125.0,9.0,Mumbai Indians,Runs,23.0,Kieron Pollard,2013
405,16-04-2014,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Group,Bat,163.0,5.0,122.0,7.0,Kolkata Knight Riders,Runs,41.0,Jacques Kallis,2014
406,17-04-2014,Sharjah Cricket Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Group,Field,145.0,4.0,146.0,2.0,Royal Challengers Bangalore,Wickets,8.0,Yuzvendra Chahal,2014
407,18-04-2014,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Group,Bat,205.0,4.0,206.0,4.0,Kings XI Punjab,Wickets,6.0,Glenn Maxwell,2014
408,18-04-2014,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Group,Field,133.0,6.0,135.0,6.0,Rajasthan Royals,Wickets,4.0,Ajinkya Rahane,2014
409,19-04-2014,Dubai International Cricket Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Group,Field,115.0,9.0,116.0,3.0,Royal Challengers Bangalore,Wickets,7.0,Parthiv Patel,2014
410,19-04-2014,Dubai International Cricket Stadium,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Group,Bat,166.0,5.0,167.0,6.0,Delhi Daredevils,Wickets,4.0,JP Duminy,2014
411,20-04-2014,Sharjah Cricket Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Group,Field,191.0,5.0,193.0,3.0,Kings XI Punjab,Wickets,7.0,Glenn Maxwell,2014
412,21-04-2014,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Group,Bat,177.0,7.0,84.0,10.0,Chennai Super Kings,Runs,93.0,Suresh Raina,2014
413,22-04-2014,Sharjah Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Group,Field,193.0,6.0,121.0,10.0,Kings XI Punjab,Runs,72.0,Glenn Maxwell,2014
414,23-04-2014,Dubai International Cricket Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Group,Field,140.0,6.0,133.0,10.0,Chennai Super Kings,Runs,7.0,Ravindra Jadeja,2014
415,24-04-2014,Sharjah Cricket Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Group,Field,150.0,7.0,148.0,5.0,Kolkata Knight Riders,Runs,2.0,Chris Lynn,2014
416,25-04-2014,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Group,Bat,184.0,1.0,180.0,4.0,Sunrisers Hyderabad,Runs,4.0,Aaron Finch,2014
417,25-04-2014,Dubai International Cricket Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Group,Bat,141.0,7.0,142.0,3.0,Chennai Super Kings,Wickets,7.0,Mohit Sharma,2014
418,26-04-2014,"Sheikh Zayed Stadium, Abu Dhabi",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Group,Field,70.0,10.0,71.0,4.0,Rajasthan Royals,Wickets,6.0,Pravin Tambe,2014
419,26-04-2014,"Sheikh Zayed Stadium, Abu Dhabi",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Group,Field,132.0,9.0,109.0,10.0,Kings XI Punjab,Runs,23.0,Sandeep Sharma,2014
420,27-04-2014,Sharjah Cricket Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Group,Bat,125.0,6.0,126.0,4.0,Delhi Daredevils,Wickets,6.0,Murali Vijay,2014
421,27-04-2014,Sharjah Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Group,Bat,145.0,5.0,146.0,5.0,Chennai Super Kings,Wickets,5.0,Dwayne Smith,2014
422,28-04-2014,Dubai International Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Group,Field,124.0,8.0,127.0,5.0,Kings XI Punjab,Wickets,5.0,Sandeep Sharma,2014
424,30-04-2014,Dubai International Cricket Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Group,Field,172.0,5.0,157.0,7.0,Sunrisers Hyderabad,Runs,15.0,Bhuvneshwar Kumar,2014
425,02-05-2014,"JSCA International Cricket Stadium, Ranchi",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Group,Bat,148.0,3.0,114.0,9.0,Chennai Super Kings,Runs,34.0,Ravindra Jadeja,2014
426,03-05-2014,"Wankhede Stadium, Mumbai",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Group,Bat,168.0,5.0,170.0,5.0,Mumbai Indians,Wickets,5.0,Corey Anderson,2014
427,03-05-2014,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Group,Field,152.0,5.0,156.0,3.0,Rajasthan Royals,Wickets,7.0,Karun Nair,2014
428,04-05-2014,"M. Chinnaswamy Stadium, Bangalore",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Group,Field,155.0,6.0,158.0,6.0,Royal Challengers Bangalore,Wickets,4.0,AB de Villiers,2014
429,05-05-2014,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Group,Field,170.0,6.0,160.0,6.0,Rajasthan Royals,Runs,10.0,Pravin Tambe,2014
430,05-05-2014,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Group,Field,178.0,5.0,181.0,2.0,Chennai Super Kings,Wickets,8.0,Dwayne Smith,2014
431,06-05-2014,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Group,Field,187.0,5.0,168.0,8.0,Mumbai Indians,Runs,19.0,Rohit Sharma,2014
432,07-05-2014,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Group,Bat,160.0,5.0,161.0,2.0,Kolkata Knight Riders,Wickets,8.0,Gautam Gambhir,2014
433,07-05-2014,"Barabati Stadium, Cuttack",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Group,Field,231.0,4.0,187.0,6.0,Kings XI Punjab,Runs,44.0,Glenn Maxwell,2014
434,08-05-2014,"Sardar Patel Stadium, Ahmedabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Group,Field,134.0,9.0,102.0,10.0,Sunrisers Hyderabad,Runs,32.0,Bhuvneshwar Kumar,2014
435,09-05-2014,"M. Chinnaswamy Stadium, Bangalore",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Group,Field,198.0,8.0,166.0,9.0,Kings XI Punjab,Runs,32.0,Sandeep Sharma,2014
436,10-05-2014,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Group,Field,143.0,7.0,44.0,2.0,Sunrisers Hyderabad,Wickets,8.0,Dale Steyn,2014
437,10-05-2014,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Group,Field,157.0,6.0,160.0,6.0,Chennai Super Kings,Wickets,4.0,Dwayne Smith,2014
438,11-05-2014,"Barabati Stadium, Cuttack",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Group,Field,149.0,8.0,150.0,1.0,Kolkata Knight Riders,Wickets,9.0,Gautam Gambhir,2014
439,11-05-2014,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Group,Bat,190.0,5.0,191.0,5.0,Rajasthan Royals,Wickets,5.0,James Faulkner,2014
440,12-05-2014,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Group,Bat,157.0,3.0,160.0,3.0,Mumbai Indians,Wickets,7.0,Ambati Rayudu,2014
441,13-05-2014,"JSCA International Cricket Stadium, Ranchi",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Group,Bat,148.0,8.0,149.0,5.0,Chennai Super Kings,Wickets,5.0,Ravindra Jadeja,2014
442,13-05-2014,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Group,Field,186.0,4.0,170.0,7.0,Royal Challengers Bangalore,Runs,16.0,Yuvraj Singh,2014
443,14-05-2014,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Group,Field,205.0,5.0,211.0,4.0,Kings XI Punjab,Wickets,6.0,Wriddhiman Saha,2014
444,14-05-2014,"Barabati Stadium, Cuttack",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Group,Field,141.0,5.0,142.0,4.0,Kolkata Knight Riders,Wickets,6.0,Robin Uthappa,2014
445,15-05-2014,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Group,Field,201.0,6.0,139.0,9.0,Rajasthan Royals,Runs,62.0,Ajinkya Rahane,2014
446,18-05-2014,"JSCA International Cricket Stadium, Ranchi",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Group,Bat,138.0,4.0,142.0,5.0,Royal Challengers Bangalore,Wickets,5.0,AB de Villiers,2014
447,18-05-2014,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Group,Bat,142.0,8.0,146.0,3.0,Kolkata Knight Riders,Wickets,7.0,Umesh Yadav,2014
448,19-05-2014,"Sardar Patel Stadium, Ahmedabad",Mumbai Indians,Rajasthan Royals,Mumbai Indians,Group,Bat,178.0,3.0,153.0,8.0,Mumbai Indians,Runs,25.0,Michael Hussey,2014
449,19-05-2014,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Group,Field,164.0,7.0,165.0,6.0,Kings XI Punjab,Wickets,4.0,Axar Patel,2014
450,20-05-2014,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Group,Bat,160.0,6.0,161.0,3.0,Sunrisers Hyderabad,Wickets,7.0,David Warner,2014
451,20-05-2014,"Eden Gardens, Kolkata",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Group,Field,154.0,4.0,156.0,2.0,Kolkata Knight Riders,Wickets,8.0,Robin Uthappa,2014
452,21-05-2014,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,Group,Field,156.0,8.0,159.0,3.0,Mumbai Indians,Wickets,7.0,Lendl Simmons,2014
