Match ID,Date,Venue,Team1,Team2,Toss winner,Toss decision,Stage,First innings score,First innings wicket,Second innings score,Second innings wicket,Match winner,Won by,Margin,Player of the match,year
234,12-05-2011,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat,Group,176.0,4.0,158.0,6.0,Chennai Super Kings,Runs,18.0,Mahendra Singh Dhoni,2011
235,13-05-2011,"Holkar Cricket Stadium, Indore",Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,Field,Group,178.0,7.0,181.0,4.0,Kings XI Punjab,Wickets,6.0,Dinesh Karthik,2011
236,14-05-2011,"M. Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,89.0,4.0,105.0,6.0,Royal Challengers Bangalore,Wickets,4.0,Chris Gayle,2011
237,14-05-2011,"Wankhede Stadium, Mumbai",Deccan Chargers,Mumbai Indians,Deccan Chargers,Bat,Group,135.0,6.0,125.0,8.0,Deccan Chargers,Runs,10.0,Amit Mishra,2011
238,15-05-2011,"HPCA Stadium, Dharamsala",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Group,170.0,6.0,141.0,8.0,Kings XI Punjab,Runs,29.0,Piyush Chawla,2011
239,15-05-2011,"Holkar Cricket Stadium, Indore",Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Field,Group,97.0,10.0,98.0,2.0,Kochi Tuskers Kerala,Wickets,8.0,Brad Hodge,2011
240,16-05-2011,"DY Patil Stadium, Mumbai",Pune Warriors India,Deccan Chargers,Deccan Chargers,Field,Group,136.0,9.0,138.0,4.0,Deccan Chargers,Wickets,6.0,Amit Mishra,2011
241,17-05-2011,"HPCA Stadium, Dharamsala",Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Bat,Group,232.0,2.0,121.0,10.0,Kings XI Punjab,Runs,111.0,Adam Gilchrist,2011
242,18-05-2011,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,Bat,Group,152.0,5.0,141.0,5.0,Chennai Super Kings,Runs,11.0,Wriddhiman Saha,2011
243,19-05-2011,"DY Patil Stadium, Mumbai",Pune Warriors India,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,118.0,7.0,119.0,3.0,Kolkata Knight Riders,Wickets,7.0,Yusuf Pathan,2011
244,20-05-2011,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Group,133.0,5.0,134.0,0.0,Rajasthan Royals,Wickets,10.0,Shane Watson,2011
245,21-05-2011,"HPCA Stadium, Dharamsala",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,Field,Group,198.0,2.0,116.0,10.0,Deccan Chargers,Runs,82.0,Shikhar Dhawan,2011
247,22-05-2011,"M. Chinnaswamy Stadium, Bangalore",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,128.0,8.0,129.0,2.0,Royal Challengers Bangalore,Wickets,8.0,Chris Gayle,2011
248,22-05-2011,"Eden Gardens, Kolkata",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,Group,175.0,7.0,178.0,5.0,Mumbai Indians,Wickets,5.0,James Franklin,2011
249,24-05-2011,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Playoff,175.0,4.0,177.0,4.0,Chennai Super Kings,Wickets,6.0,Suresh Raina,2011
250,25-05-2011,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,Playoff,147.0,7.0,148.0,6.0,Mumbai Indians,Wickets,4.0,Munaf Patel,2011
251,27-05-2011,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Playoff,185.0,4.0,142.0,8.0,Royal Challengers Bangalore,Runs,43.0,Chris Gayle,2011
252,28-05-2011,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat,Final,205.0,5.0,147.0,8.0,Chennai Super Kings,Runs,58.0,Murali Vijay,2011
253,04-04-2012,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Group,112.0,10.0,115.0,2.0,Mumbai Indians,Wickets,8.0,Richard Levi,2012
254,05-04-2012,"Eden Gardens, Kolkata",Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Field,Group,97.0,9.0,100.0,2.0,Delhi Daredevils,Wickets,8.0,Irfan Pathan,2012
255,06-04-2012,"Wankhede Stadium, Mumbai",Pune Warriors India,Mumbai Indians,Mumbai Indians,Field,Group,129.0,9.0,101.0,9.0,Pune Warriors India,Runs,28.0,Steve Smith,2012
256,06-04-2012,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field,Group,191.0,4.0,160.0,9.0,Rajasthan Royals,Runs,31.0,Ajinkya Rahane,2012
257,07-04-2012,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Field,Group,157.0,8.0,137.0,7.0,Royal Challengers Bangalore,Runs,20.0,AB de Villiers,2012
258,07-04-2012,"ACA-VDCA Stadium, Visakhapatnam",Chennai Super Kings,Deccan Chargers,Deccan Chargers,Field,Group,193.0,6.0,119.0,10.0,Chennai Super Kings,Runs,74.0,Ravindra Jadeja,2012
259,08-04-2012,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,164.0,5.0,142.0,10.0,Rajasthan Royals,Runs,22.0,Brad Hodge,2012
260,08-04-2012,"Subrata Roy Sahara Stadium, Pune",Pune Warriors India,Kings XI Punjab,Kings XI Punjab,Bat,Group,166.0,6.0,144.0,8.0,Pune Warriors India,Runs,22.0,Marlon Samuels,2012
261,09-04-2012,"ACA-VDCA Stadium, Visakhapatnam",Deccan Chargers,Mumbai Indians,Mumbai Indians,Bat,Group,138.0,9.0,142.0,5.0,Mumbai Indians,Wickets,5.0,Rohit Sharma,2012
